Creation_Date,User,feedback_txt
9/23/2020,Dr_RShatsky, ESMO always feels like a warmup for @SABCSSanAntonio for me. Like a teaser of exciting new breakthroughs in the breast cancer world and new possible drug approvals that may give my patients more options and or time. #bcsm. I always look forward to December.
9/22/2020,JAFB1291, Early breast cancer: ESMO Clinical Practice Guidelines for diagnosis  treatment and follow-up†  https://t.co/cqsQM9Lc6G
9/22/2020,SamFazeli8, Join BI and Solebury Trout for a recap of key ESMO data in breast  GI and lung cancer.   https://t.co/c6Kru8Zyvw
9/22/2020,Engelsgjerd, Please join Bloomberg Intelligence &amp; @SoleburyTrout for an ESMO recap webinar on Friday at 10AM EDT. We'll be joined by three experts and will dig into the latest breast  lung  and GI cancer datasets. Register here:  https://t.co/nEx1OzOJsN #ESMO20 #oncology #Amgen #Gilead #Lilly
9/22/2020,outcomes4me, Missed the 2020 ESMO Congress? No worries! We did a wrap up with 3 major key takeaways for breast cancer patients.    https://t.co/wpIBppsSKw  #BreastCancer #ESMO2020 @myESMO #BCSM
9/22/2020,OncologyNewsAus, Oncology News Update: 'ESMO 2020: Sacituzumab govitecan-hziy extends survival in phase 3 ASCENT study of metastatic triple-negative breast cancer' has been published on Oncology News Australia -  https://t.co/ZQiB2T4H43 #oncnews  https://t.co/IeVtO9pp2O
9/22/2020,OncologyNewsAus, Oncology News Update: 'ESMO 2020: Research breakthrough offers new hope for high risk patients with HR+ breast cancer' has been published on Oncology News Australia -  https://t.co/URpE2rG0QC #oncnews  https://t.co/za2M0CNqWD
9/22/2020,AntibioticNews, ESMO: Genentech Shares Data from Phase III Triple-Negative Breast Cancer Trials   https://t.co/Piz4bjpIBq  #Phrmanews #cancer #breastcancer #oncology
9/22/2020,Pushpita_deb, ESMO 2020: Verzenio a maybe  Ibrance a no for early stage breast cancer  https://t.co/4mJnITHPwA
9/22/2020,boobstagramm, ESMO: Genentech Shares Data from Phase III Triple-Negative Breast Cancer Trials - BioSpace  https://t.co/lyrDR5R8Cl
9/22/2020,darylmox, ESMO 2020: Breast cancer drug set to transform prostate cancer treatment  https://t.co/3kn5KJZFuS via @ICR_London @EurekAlert
9/22/2020,BioWorld, ESMO 2020: Verzenio a maybe  Ibrance a no for early stage breast cancer  https://t.co/RvB7rnF8lq
9/22/2020,OncJournal, ESMO 2020: Breast cancer drug set to transform prostate cancer treatment  https://t.co/pbtkdyzXQB
9/22/2020,biospace, ESMO: Genentech Shares Data from Phase III Triple-Negative Breast Cancer Trials  #biospace #lifesciences #biotechnology #pharmaceuticals #oncology #cancer #breastcancer   https://t.co/rmexB8Jtkt
9/22/2020,Lampgen_CR, ESMO: Pfizer’s Ibrance flop in early breast cancer shouldn’t hurt metastatic sales  exec says | FiercePharma  https://t.co/6Xeqd57qFS
9/21/2020,AlcuriaRudolph, ESMO: Roche's mixed results put Tecentriq's triple-negative breast cancer use into question | FiercePharma  https://t.co/elsXnHHrEP
9/21/2020,AlcuriaRudolph, ESMO: Lilly's Verzenio pressures Pfizer with practice-changing win in early breast cancer | FiercePharma  https://t.co/CCysS04JSt
9/21/2020,AlcuriaRudolph, ESMO: Novartis parses long-awaited survival data for breast cancer blockbuster hopeful Piqray | FiercePharma  https://t.co/d2qIVm3UET
9/21/2020,AlcuriaRudolph, ESMO: Roche's mixed results put Tecentriq's triple-negative breast cancer use into question | FiercePharma  https://t.co/9bhMRLaFcX
9/21/2020,AlcuriaRudolph, ESMO: New Trodelvy breast  bladder cancer data show why Gilead's going big for Immunomedics | FiercePharma  https://t.co/xOI66L0dLq
9/21/2020,AlcuriaRudolph, ESMO: Lilly's Verzenio pressures Pfizer with practice-changing win in early breast cancer | FiercePharma  https://t.co/XGToLwCIH5
9/21/2020,BOPACommittee, With #ESMO20 all wrapped up today  I hope you enjoyed the ESMO updates over the last 3 days. The main headliners this year related to breast  lung and urological cancers. See you all at the BOPA Virtual Symposium in October!! Not long to go! 🤓
9/21/2020,BioCalifornia, ESMO: Genentech Shares Data from Phase III Triple-Negative Breast Cancer Trials  https://t.co/Ctoe7hU1vS  https://t.co/YS3ZxJBKNG
9/21/2020,Corixis, ESMO: Genentech Shares Data from Phase III Triple-Negative Breast Cancer Trials  https://t.co/4nqwkzy4WJ  https://t.co/ckUu6HXdVt
9/21/2020,Biotechnology, ESMO: Genentech Shares Data from Phase III Triple-Negative Breast Cancer Trials  https://t.co/iBjSFIqrwA  https://t.co/gpiBHdIGvE
9/21/2020,PharmaTopNews1, ESMO: Novartis parses long-awaited survival data for breast cancer blockbuster hopeful Piqray | FiercePharma #pharmatopnews #oncology   https://t.co/asfoJCBa5F
9/21/2020,aspenbio, ESMO: Roche's mixed results put Tecentriq's triple-negative breast cancer use into question | @myESMO @Roche @Merck #Cancer #Breastcancer #Oncology #Biotech #NewJersey #Tecentriq #Keytruda #TNBC  https://t.co/3dKyRQZoBg
9/21/2020,pharm2market, ESMO: Roche's mixed results put Tecentriq's triple-negative breast cancer use into question | @myESMO @Roche @Merck #Cancer #Breastcancer #Oncology #Biotech #NewJersey #Tecentriq #Keytruda #TNBC  https://t.co/hwpFv0Rxpo
9/21/2020,pharm2market, ESMO: New Trodelvy breast  bladder cancer data show why Gilead's going big for Immunomedics |@myESMO @Gileadsciences @ImmunomedicsInc @SeattleGenetics @AstellasUS #Cancer #ESMO20 #Trodelvy #Breastcancer #Seattle #FosterCity #California #NewJersey #Biotech  https://t.co/jansaEFJE1
9/21/2020,NewExpressNews, ESMO: Lilly’s Verzenio pressures Pfizer with practice-changing win in early breast cancer  https://t.co/ynKITQLD2g
9/21/2020,aspenbio, ESMO: New Trodelvy breast  bladder cancer data show why Gilead's going big for Immunomedics |@myESMO @Gileadsciences @ImmunomedicsInc @SeattleGenetics @AstellasUS #Cancer #ESMO20 #Trodelvy #Breastcancer #Seattle #FosterCity #California #NewJersey #Biotech  https://t.co/0OBgecY4NV
9/21/2020,Dominic_Tyer, Immunomedics wows ESMO with breast cancer data reveal  https://t.co/IeArlfabup #pharma #ESMO20
9/21/2020,OncologyNewsAus, Oncology News Update: 'ESMO 2020: First new drug in years reduces recurrence in high-risk hormone receptor positive early breast cancer' has been published on Oncology News Australia -  https://t.co/vJoea0Abrx #oncnews  https://t.co/dBCnzjQyGV
9/21/2020,HelixBioPharma, ESMO: Lilly's Verzenio pressures Pfizer with practice-changing win in early breast cancer! $LLY $PFE #cancer #breastcancer  https://t.co/cxTd0leCcX
9/21/2020,Pharmashot, Roche Presents New P-III Data of Tecentriq in Triple-Negative Breast Cancer at ESMO Virtual Congress 2020 @Roche   https://t.co/4oiX3UEbbu  https://t.co/md5kiSuXQt
9/21/2020,healthcarejon, Piqray and Faslodex combo extends survival in HR+/HER2-  PIK3CA+ advanced breast cancer at ESMO 2020 :  https://t.co/bzKSIqxebh #pharmaceutical
9/21/2020,MicrobiolCurRes, Immunomedics wows ESMO with breast cancer data reveal  https://t.co/b3vdoGuDkS
9/21/2020,PharmaNews, ESMO: Lilly's Verzenio pressures Pfizer with practice-changing win in early breast cancer  #EliLilly #Verzenio #BreastCancer    https://t.co/nOAwloa9BZ
9/21/2020,boobstagramm, Immunomedics wows ESMO with breast cancer data reveal - - pharmaphorum  https://t.co/WSUJweKO3L
9/21/2020,ttccgroup, ESMO Virtual Congress 2020 Findings in Breast and Head and Neck Cancers - The ASCO Post  https://t.co/oEc1fRnUc0
9/21/2020,boobstagramm, ESMO: Lilly's Verzenio pressures Pfizer with practice-changing win in early breast cancer - FiercePharma  https://t.co/bITxLjFKua
9/21/2020,sciencecodex, ESMO 2020: Breast cancer drug set to transform prostate cancer treatment  https://t.co/9eOuee4CBZ
9/21/2020,NovartisNews, Novartis announces its advanced breast cancer treatment receives highest rating of any CDK4/6 inhibitor on the ESMO Magnitude of Clinical Benefit Scale. #NovartisNews
9/21/2020,boobstagramm, ESMO: New Trodelvy breast  bladder cancer data show why Gilead's going big for Immunomedics - FiercePharma  https://t.co/WTFX5REf3l
9/21/2020,howtobeatcancer, ESMO: Pfizer's Ibrance flop in early breast cancer shouldn't hurt metastatic sales  exec says - FiercePharma  https://t.co/PJFaBnBe8N
9/21/2020,cafepharma, ESMO: Roche's mixed results put Tecentriq's triple-negative breast cancer use into question  https://t.co/iHjIL4Zgge
9/21/2020,cafepharma, ESMO: Lilly's Verzenio pressures Pfizer with practice-changing win in early breast cancer  https://t.co/rZTz4uuKxk
9/21/2020,SciSolutions, ESMO 2020: Breast cancer drug set to transform prostate cancer treatment  https://t.co/Awpti13nwQ  https://t.co/P2v1X2Tgjp
9/21/2020,7thSpaceCom, News: ESMO 2020: Breast cancer drug set to transform prostate cancer treatment -  https://t.co/M3KkUoc6gs
9/21/2020,Science28960840, ESMO 2020: Breast cancer drug set to transform prostate cancer treatment  https://t.co/AkrXWVt6NQ
9/21/2020,patriciaclarkmd, Reduction of 25% in recurrence  28% in metastasis for ER+ high risk early breast cancer. #ESMO : Lilly's Verzenio pressures Pfizer with practice-changing win in early #breastcancer FiercePharma #bcsm  https://t.co/lenaF5oBju
9/21/2020,ShootForLife,  https://t.co/arojMO5zJc ESMO 2020: Breast cancer drug set to transform prostate cancer treatment…  https://t.co/uT2snBsoRr
9/21/2020,professorSteph7, Many thanks to all patients  investigators &amp; trial sponsor @LillyPad involved in the monarchE adjuvant breast cancer trial presented @ESMO. These are exciting results for those with high risk hormone receptor positive early #breastcancer. An impressive digital meeting #ESMO2020
9/21/2020,MarcJacksonLA, $LLY $PFE  ESMO: Lilly's Verzenio pressures Pfizer with practice-changing win in early breast cancer  https://t.co/o6QEYF7Veb
9/20/2020,boobstagramm, ESMO 2020: Breast cancer drug set to transform prostate cancer treatment - EurekAlert  https://t.co/rFFbNDh96i
9/20/2020,RxDataScience, ESMO: Lilly's Verzenio pressures Pfizer with practice-changing win in early breast cancer  https://t.co/aNeGHc5LCI  https://t.co/UkfHBXKudv
9/20/2020,analystlandnews, ESMO: Lilly's Verzenio pressures Pfizer with practice-changing win in early breast cancer  https://t.co/ykCbA068qT  https://t.co/yCeF6CFhdN
9/20/2020,NovartisCancer, At #ESMO2020  we will be presenting new data on our treatment for advanced breast cancer in patients with endocrine resistance. Visit our ESMO portal to learn more. #advancedbreastcancer
9/20/2020,NewsBlogged, #Science News: ESMO 2020: Breast cancer drug set to transform prostate cancer treatment  https://t.co/UzXuEfUgXm
9/20/2020,cancer_network, ESMO 2020: Breast cancer drug set to transform prostate cancer treatment  https://t.co/4YLsIfyiT1
9/20/2020,HelixBioPharma, 2/ 2 Roche's Tecentriq  currently the only PD-1/L1 approved in triple-negative breast cancer  posted mixed results in the hard-to-treat disease at this year's ESMO Virtual Congress! $RHHBY #cancer #breastcancer #ESMO2020  https://t.co/5my1Q5KQ8W
9/20/2020,HelixBioPharma, 1/2 ESMO: Roche's mixed results put Tecentriq's triple-negative breast cancer use into question! $RHHBY #cancer #breastcancer #ESMO2020  https://t.co/5my1Q5KQ8W
9/20/2020,thedextazlab, ESMO 2020: Breast cancer drug set to transform prostate cancer treatment  https://t.co/xNSeZrF1qw
9/20/2020,seigomaeda, ESMO: Lilly's Verzenio pressures Pfizer with practice-changing win in early breast cancer  https://t.co/J41GecugT8
9/20/2020,quant_data, Novartis Announced Saturday at ESMO 2020  Piqray Data Show Survival Benefit for Patients with HR+/HER2- Advanced Breast Cancer with a PIK3CA Mutation  Related Tickers: $NVS
9/20/2020,bergerb2, #Roche presents new data from multiple Phase III studies of #Tecentriq in #triple-negative breast cancer at ESMO Virtual Congress 2020 Swiss Stock Exchange:RO  https://t.co/wFVrdBqzIs
9/20/2020,ESMO_Open, Top Accessed Article in @ESMO Open: How shall we treat early triple-negative breast cancer (#TNBC): from the current standard to upcoming immuno-molecular strategies @myESMO #ESMO20  https://t.co/iOvouVM8LF  https://t.co/mnQbpwZEds
9/20/2020,PharmaCrowd, ESMO: Novartis parses long-awaited survival data for breast cancer blockbuster hopeful Piqray  https://t.co/RfLeWzKoMV  https://t.co/67Ii7oK9ND
9/20/2020,boobstagramm, ESMO: Roche's mixed results put Tecentriq's triple-negative breast cancer use into question - FiercePharma  https://t.co/bJcGKBXLjq
9/20/2020,MedexpertC, New treatment option for  hard to treat Triple negative breast cancer presented at European cancer meeting ESMO 2020. Very active and will improve survival.⁦@NBCF⁩ ⁦@McGrathFdn⁩ ⁦@BCNAPinkLady⁩ ⁦@CR_UK⁩ ⁦⁦⁩ ⁦@SkyNews⁩  https://t.co/vqbRiWDJr6
9/20/2020,boobstagramm, Roche presents new data from multiple Phase III studies of Tecentriq in triple-negative breast cancer at ESMO Virtual Congress 2020 - GlobeNewswire  https://t.co/ZdZelaj73d
9/20/2020,cafepharma, ESMO: Novartis parses long-awaited survival data for breast cancer blockbuster hopeful Piqray  https://t.co/6NAvvlYak1
9/20/2020,NewExpressNews, ESMO: Novartis parses long-awaited survival data for breast cancer blockbuster hopeful Piqray  https://t.co/u0Ze4Liz60
9/20/2020,PharmacDaily, Genentech Presents New Data From Multiple Phase III Studies of Tecentriq in Triple-Negative Breast Cancer at ESMO Virtual Congress 2020  https://t.co/DOyRXxF0tA
9/19/2020,SuriyaSubraman, ESMO: New Trodelvy breast  bladder cancer data show why Gilead's going big for Immunomedics: Now  two sets of new cancer data from Immunomedics' first-in-class antibody-drug conjugate Trodelvy offer a glimpse into why Gilead paid such…  https://t.co/n6Kb0KRRAk #bigdata #cdo #cto
9/19/2020,PharmacDaily, Roche presents new data from multiple Phase III studies of Tecentriq in triple-negative breast cancer at ESMO Virtual Congress 2020  https://t.co/SdkKzHwQmm
9/19/2020,mednetnews, ESMO: New Trodelvy breast  bladder cancer data show why Gilead’s going big for Immunomedics  https://t.co/gpccH6i1mN
9/19/2020,boobstagramm, ESMO: New Trodelvy breast  bladder cancer data show why Gilead's going big for Immunomedics - FiercePharma  https://t.co/WTFX5REf3l
9/19/2020,analystlandnews, ESMO: Novartis parses long-awaited survival data for breast cancer blockbuster hopeful Piqray  https://t.co/BVUT4S0RLz  https://t.co/GthuuCj1ls
9/19/2020,NewExpressNews, ESMO: Roche’s mixed results put Tecentriq’s triple-negative breast cancer use into question  https://t.co/lAKz1S7KGH
9/19/2020,MarcJacksonLA, $IMMU $GILD ESMO: New Trodelvy breast  bladder cancer data show why Gilead's going big for Immunomedics  https://t.co/3duHJZ7QDv
9/19/2020,GaiaGriguolo, Rushing from the Breast Cancer session to the Presidential Session  just a quick stop for a photo! This feels a bit like ESMO! #ESMO20 @vitti10
9/19/2020,EINBiotech, Genentech Presents New Data From Multiple Phase III Studies of Tecentriq in Triple-Negative Breast Cancer at ESMO Virtual Congress 2020  https://t.co/pVzaVB3ZJS
9/19/2020,NewExpressNews, ESMO: New Trodelvy breast  bladder cancer data show why Gilead’s going big for Immunomedics  https://t.co/HJDc4ukMeM
9/19/2020,KillerStockCall, $RHHBY (OTC STOCK) Genentech Presents New Data From Multiple Phase III Studies of Tecentriq in Triple-Negative Breast Cancer at ESMO Virtual Congress 2020  #fintwit #OTCMarkets
9/19/2020,boobstagramm, ESMO: Novartis parses long-awaited survival data for breast cancer blockbuster hopeful Piqray - FiercePharma  https://t.co/TJJW0KRnoK
9/19/2020,boobstagramm, Genentech Presents New Data From Multiple Phase III Studies of Tecentriq in Triple-Negative Breast Cancer at ESMO Virtual Congress 2020 - Business Wire  https://t.co/0CUjHKS3Ag
9/19/2020,aspenbio, ESMO: Pfizer's Ibrance flop in early breast cancer shouldn't hurt metastatic sales  exec says | @Pfizer @myESMO #ESMO20 #Ibrance #Breastcancer #Cancer #metastatic #oncology #Biotech #NewYorkCity  https://t.co/btKlYeopG9
9/19/2020,seigomaeda, ESMO: New Trodelvy breast  bladder cancer data show why Gilead's going big for Immunomedics  https://t.co/HGx5FdvxcK
9/19/2020,pharm2market, ESMO: Pfizer's Ibrance flop in early breast cancer shouldn't hurt metastatic sales  exec says | @Pfizer @myESMO #ESMO20 #Ibrance #Breastcancer #Cancer #metastatic #oncology #Biotech #NewYorkCity  https://t.co/UnXFoITaGN
9/19/2020,Stock_Market_Pr, Genentech Presents New Data From Multiple Phase III Studies of Tecentriq in Triple-Negative Breast Cancer at ESMO Virtual Congress 2020  https://t.co/tvnkXIaY7W #StockMarket
9/19/2020,Stock_Market_Pr, Roche presents new data from multiple Phase III studies of Tecentriq in triple-negative breast cancer at ESMO Virtual Congress 2020  https://t.co/TLCJyPv9ul #StockMarket
9/19/2020,otcdynamics, $RHHBY Genentech Presents New Data From Multiple Phase III Studies of Tecentriq in Triple-Negative Breast Cancer at ESMO Virtual Congress 2020  https://t.co/jvA1s9yS7w
9/19/2020,MazenzCom, Genentech Presents New Data From Multiple Phase III Studies of Tecentriq in Triple-Negative Breast Cancer at ESMO Virtual Congress 2020 -  https://t.co/8OmrIh1DHg  https://t.co/SjZGi0kTS1
9/19/2020,seigomaeda, ESMO: Roche's mixed results put Tecentriq's triple-negative breast cancer use into question  https://t.co/HbtChNKtbh
9/19/2020,equity_newswire, $RO Genentech Presents New Data From Multiple Phase III Studies of Tecentriq in Triple-Negative Breast Cancer at ESMO Virtual Congress 2020  https://t.co/PdFru3RxU4
9/19/2020,seigomaeda, ESMO: Novartis parses long-awaited survival data for breast cancer blockbuster hopeful Piqray  https://t.co/EiWy2c9ZfE
9/19/2020,FlashAlert_me, $RHHBY [15s. delayed]: Issued Press Release on September 19  10:20:00: Genentech Presents New Data From Multiple Phase III Studies of Tecentriq in Triple-Negative Breast Cancer at ESMO Virtual Congress 2020  https://t.co/LwCfWdQx4e
9/19/2020,marktpirate1, Roche presents new data from multiple Phase III studies of Tecentriq in triple-negative breast cancer at ESMO Virtual Congress 2020  https://t.co/I5yPFluLyG
9/19/2020,NewsFromBW, Genentech Presents New Data From Multiple Phase III Studies of Tecentriq in Triple-Negative Breast Cancer at ESMO Virtual Congress 2020  https://t.co/Up8nTNQi18  https://t.co/3MgsE1TPXe
9/19/2020,DrFelipeAdes, I follow @myESMO conferences since ESMO Breast  when i was 7 months-old  now I am 11 months-old. #ESMO2020 @OncoAlert  https://t.co/GdmgtYlLWy
9/19/2020,_SOLTI, ESMO Virtual Congress starting NOW!  Come and check our poster #SOLTI -1507 IPATHER: A phase Ib study of ipatasertib and anti-HER2 therapy in HER2-positive advanced breast cancer with PIK3CAmutation  More info:  https://t.co/VWX9NLXWfl  @MOliveira000 @OncoAlert @myESMO  https://t.co/fVxKygHgFn
9/19/2020,boobstagramm, ESMO: Pfizer's Ibrance flop in early breast cancer shouldn't hurt metastatic sales  exec says - FiercePharma  https://t.co/PtHwfSKPHa
9/19/2020,Conti_Clinical, ESMO: Pfizer's Ibrance flop in early breast cancer shouldn't hurt metastatic sales  exec says  https://t.co/KK0zao8xaj
9/19/2020,MarcJacksonLA, $PFE ESMO: Pfizer's Ibrance flop in early breast cancer shouldn't hurt metastatic sales  exec says  https://t.co/3HUHiCzcSX
9/19/2020,mednetnews, ESMO: Pfizer’s Ibrance flop in early breast cancer shouldn’t hurt metastatic sales  exec says  https://t.co/3qPH0x9me7
9/19/2020,seigomaeda, ESMO: Pfizer's Ibrance flop in early breast cancer shouldn't hurt metastatic sales  exec says  https://t.co/bufKrYKpmI
9/18/2020,_SOLTI, Are you ready for ESMO Virtual Congress?  Come and check our poster #SOLTI -1507 IPATHER: A phase Ib study of ipatasertib and anti-HER2 therapy in HER2-positive advanced breast cancer with PIK3CAmutation  More info:  https://t.co/VWX9NLXWfl  @MOliveira000 @OncoAlert @myESMO  https://t.co/Ec28zs68nr
9/18/2020,naturopathiconc, Stratification of risk of recurrence in #breast #cancer with Mammoprint is also a key factor in the ESMO data. Most women in US have not had Mammoprint done. NEJM data showing risk by grade (your graphs) in early #breastcancer over 10-20 years is much more robust  and practical.
9/18/2020,myESMO, #ESMO20: @aftimosp from the ESMO Social Media Working Group 'Breast oncologists &amp; other physicians w/ interest in #breastcancer can expect very important results w/ number of pivotal trials reporting on their primary objective.'  Watch more here 👇   https://t.co/EDyyeU9f5G #bcsm  https://t.co/8K1mpZNZ9I
9/13/2020,biotechkid2, I do wonder if there is some surprisingly good  data at ESMO beyond ASCENT/breast.  Given myelosuppression with Trodelvy  it will be challenging to show dramatic benefit with chemo in adjuvant settings.
